Invoice,SAP,Reference,Document Date,Posting Date,Customer text,G/L,Dr/Cr Indicator,Amount,Tax Code,Value Date,G/L Text,Business Area,Cost Center,Order,Detail Text,Profit Center
,14144,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 1008,1001,,,,6100
,14144,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 1015,1001,,,,6212
,14089,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,714,C4,,2016-12-01-2016-12-31 - 2838,1001,,,,6100
,14328,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2975,C4,,2016-12-01-2016-12-31 - 3416,1001,,,,4303
,14328,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,41650,C4,,2016-12-01-2016-12-31 - 3416,1001,,,,4309
,14328,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,553.35,C4,,2016-12-01-2016-12-31 - 3416,1001,,,,6100
,11045,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2345.01,C4,,2016-12-01-2016-12-31 - 3716,1001,,,,6100
,10002,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,23651.25,C4,,2016-12-01-2016-12-31 - 3533,1001,,,,6100
,14162,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5950,C4,,2016-12-01-2016-12-31 - 2083,1001,,,,6100
,13796,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,41650,C4,,2016-12-01-2016-12-31 - 2989,1001,,,,4309
,13863,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1792.5,C6,,2016-12-01-2016-12-31 - 909,2001,,,,6100
,13863,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 907,1001,,,,6100
,14181,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,71.4,C4,,2016-12-01-2016-12-31 - 821,1001,,,,6200
,14181,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 821,1001,,,,6100
,14181,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,357,C4,,2016-12-01-2016-12-31 - 1111,1001,,,,6100
,10049,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1071,C4,,2016-12-01-2016-12-31 - 902,1001,,,,6100
,10049,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,357,C4,,2016-12-01-2016-12-31 - 902,1001,,,,6201
,14282,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1428,C4,,2016-12-01-2016-12-31 - 1182,1001,,,,6100
,14282,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,892.5,C4,,2016-12-01-2016-12-31 - 1183,1001,,,,6201
,14282,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5355,C4,,2016-12-01-2016-12-31 - 1183,1001,,,,6100
,11611,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,35.7,C4,,2016-12-01-2016-12-31 - 1863,1001,,,,6200
,11611,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,59.5,C4,,2016-12-01-2016-12-31 - 1863,1001,,,,6201
,11611,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,892.5,C4,,2016-12-01-2016-12-31 - 1863,1001,,,,6100
,14302,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1071,C4,,2016-12-01-2016-12-31 - 2405,1001,,,,6100
,13759,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,714,C4,,2016-12-01-2016-12-31 - 2762,1001,,,,6100
,14211,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2677.5,C4,,2016-12-01-2016-12-31 - 803,1001,,,,6100
,10025,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,12048.75,C4,,2016-12-01-2016-12-31 - 796,1001,,,,6100
,10025,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,28560,C4,,2016-12-01-2016-12-31 - 796,1001,,,,4303
,14128,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 2156,1001,,,,6100
,14128,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,59.5,C4,,2016-12-01-2016-12-31 - 2156,1001,,,,6201
,13432,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,178.5,C4,,2016-12-01-2016-12-31 - 1044,1001,,,,6100
,14243,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1190,C4,,2016-12-01-2016-12-31 - 1060,1001,,,,6201
,14243,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3570,C4,,2016-12-01-2016-12-31 - 1060,1001,,,,6100
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,892.5,C4,,2016-12-01-2016-12-31 - 1004,1001,,,,6100
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,892.5,C4,,2016-12-01-2016-12-31 - 1122,1001,,,,6100
,14235,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,981.75,C4,,2016-12-01-2016-12-31 - 3248,1001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1744.7,C6,,2016-12-01-2016-12-31 - 1080,2001,,,,4303
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1434,C6,,2016-12-01-2016-12-31 - 1080,2001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1744.7,C6,,2016-12-01-2016-12-31 - 926,2001,,,,4303
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1434,C6,,2016-12-01-2016-12-31 - 926,2001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1737.4,C4,,2016-12-01-2016-12-31 - 1113,1001,,,,4303
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1428,C4,,2016-12-01-2016-12-31 - 1113,1001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1428,C4,,2016-12-01-2016-12-31 - 1116,1001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1737.4,C4,,2016-12-01-2016-12-31 - 1116,1001,,,,4303
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5021.39,C6,,2016-12-01-2016-12-31 - 3502,2001,,,,4309
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1063.55,C6,,2016-12-01-2016-12-31 - 3502,2001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1294.18,C6,,2016-12-01-2016-12-31 - 3502,2001,,,,4303
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1428,C4,,2016-12-01-2016-12-31 - 1671,1001,,,,6100
,13802,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1737.4,C4,,2016-12-01-2016-12-31 - 1671,1001,,,,4303
,13642,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 1070,1001,,,,6212
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,15504.99,C4,,2016-12-01-2016-12-31 - 3219,1001,,,,6100
,10007,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,10710,C4,,2016-12-01-2016-12-31 - 999,1001,,,,6100
,10030,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5950,C4,,2016-12-01-2016-12-31 - 428,1001,,,,6100
,10963,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1439.9,C4,,2016-12-01-2016-12-31 - 2557,1001,,,,6212
,10963,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1439.9,C4,,2016-12-01-2016-12-31 - 3160,1001,,,,6212
,13618,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1785,C4,,2016-12-01-2016-12-31 - 1055,1001,,,,6100
,13618,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,119,C4,,2016-12-01-2016-12-31 - 1055,1001,,,,6201
,14229,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5355,C4,,2016-12-01-2016-12-31 - 794,1001,,,,6100
,13366,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,8330,C4,,2016-12-01-2016-12-31 - 1114,1001,,,,4303
,13366,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2975,C4,,2016-12-01-2016-12-31 - 1114,1001,,,,6201
,13366,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5950,C4,,2016-12-01-2016-12-31 - 1114,1001,,,,6100
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5950,C4,,2016-12-01-2016-12-31 - 653,1001,,,,6100
,13839,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,358.5,C6,,2016-12-01-2016-12-31 - 986,2001,,,,6100
,14144,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,76.64,C4,,2016-12-01-2016-12-31 - 1008,1001,,,,6103
,14144,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,9996.07,C4,,2016-12-01-2016-12-31 - 1008,1001,,,,6109
,14144,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,687.82,C4,,2016-12-01-2016-12-31 - 1008,1001,,,,6102
,14089,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3.33,C4,,2016-12-01-2016-12-31 - 2838,1001,,,,6103
,14089,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,278.46,C4,,2016-12-01-2016-12-31 - 2838,1001,,,,6109
,14089,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,26.18,C4,,2016-12-01-2016-12-31 - 2838,1001,,,,6102
,14328,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,6.43,C4,,2016-12-01-2016-12-31 - 3416,1001,,,,6102
,11045,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,33.32,C4,,2016-12-01-2016-12-31 - 3716,1001,,,,6103
,11045,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,221.34,C4,,2016-12-01-2016-12-31 - 3716,1001,,,,6102
,10002,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,1797.61,C4,,2016-12-01-2016-12-31 - 3533,1001,,,,6103
,10002,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,3291.54,C4,,2016-12-01-2016-12-31 - 3533,1001,,,,6102
,14162,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2288.37,C4,,2016-12-01-2016-12-31 - 2083,1001,,,,6109
,13796,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2095.35,C4,,2016-12-01-2016-12-31 - 2989,1001,,,,6103
,13796,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,249.9,C4,,2016-12-01-2016-12-31 - 2989,1001,,,,6109
,13796,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,5009.66,C4,,2016-12-01-2016-12-31 - 2989,1001,,,,6102
,13796,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2.38,C4,,2016-12-01-2016-12-31 - 2989,1001,,,,6110
,13863,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,124.28,C6,,2016-12-01-2016-12-31 - 909,2001,,,,6102
,13863,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,4641,C4,,2016-12-01-2016-12-31 - 907,1001,,,,6102
,14181,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,86.63,C4,,2016-12-01-2016-12-31 - 821,1001,,,,6103
,14181,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,13239.94,C4,,2016-12-01-2016-12-31 - 821,1001,,,,6102
,14181,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,2.38,C4,,2016-12-01-2016-12-31 - 1111,1001,,,,6102
,10049,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,504.8,C4,,2016-12-01-2016-12-31 - 902,1001,,,,6103
,10049,,26.12.2016,30.11.2016,2016-12-01-2016-12-31,601090,H,424.97,C4,,2016-12-01-2016-12-31 - 902,1001,,,,6109
